iter	Passed	Remaining
400	23045	34423
401	23093	34353
402	23141	34280
403	23187	34206
404	23234	34134
405	23289	34073
406	23336	34001
407	23385	33932
408	23435	33863
409	23487	33799
410	23543	33739
411	23589	33666
412	23636	33594
413	23681	33520
414	23734	33456
415	23794	33404
416	23846	33338
417	23894	33268
418	23954	33215
419	24016	33165
420	24072	33106
421	24128	33048
422	24184	32989
423	24234	32922
424	24292	32865
425	24343	32800
426	24391	32731
427	24438	32661
428	24493	32600
429	24552	32546
430	24601	32478
431	24650	32410
432	24701	32346
433	24751	32279
434	24837	32260
435	24904	32215
436	24981	32184
437	25056	32150
438	25113	32092
439	25166	32029
440	25215	31962
441	25276	31909
442	25329	31848
443	25385	31788
444	25439	31728
445	25503	31679
446	25573	31637
447	25620	31568
448	25668	31499
449	25715	31429
450	25761	31359
451	25823	31307
452	25875	31245
453	25927	31182
454	25984	31123
455	26055	31083
456	26103	31015
457	26159	30957
458	26210	30893
459	26263	30830
460	26324	30778
461	26372	30710
462	26426	30650
463	26482	30592
464	26547	30544
465	26604	30486
466	26653	30420
467	26699	30351
468	26749	30285
469	26796	30217
470	26853	30160
471	26902	30094
472	26955	30033
473	27007	29970
474	27090	29942
475	27146	29884
476	27197	29820
477	27253	29762
478	27311	29705
479	27363	29643
480	27414	29579
481	27464	29515
482	27513	29449
483	27575	29398
484	27629	29338
485	27681	29276
486	27743	29225
487	27815	29183
488	27878	29133
489	27943	29083
490	28005	29031
491	28080	28993
492	28134	28933
493	28188	28872
494	28243	28814
495	28296	28752
496	28358	28701
497	28414	28642
498	28466	28580
499	28524	28524
500	28579	28465
501	28630	28402
502	28679	28337
503	28725	28269
504	28773	28204
505	28830	28146
506	28891	28093
507	28941	28029
508	28994	27969
509	29044	27905
510	29104	27851
511	29154	27788
512	29203	27723
513	29250	27657
514	29300	27593
515	29369	27547
516	29423	27488
517	29474	27426
518	29525	27363
519	29576	27301
520	29633	27244
521	29683	27181
522	29730	27115
523	29781	27053
524	29831	26990
525	29889	26934
526	29949	26880
527	30007	26825
528	30059	26763
529	30121	26711
530	30171	26648
531	30220	26585
532	30272	26523
533	30320	26459
534	30370	26396
535	30439	26350
536	30489	26287
537	30541	26227
538	30587	26161
539	30652	26111
540	30700	26047
541	30751	25985
542	30800	25922
543	30851	25860
544	30914	25809
545	30975	25755
546	31041	25706
547	31093	25646
548	31151	25590
549	31205	25531
550	31256	25470
551	31312	25412
552	31363	25351
553	31424	25298
554	31479	25240
