iter	Logloss
280	0.1382466988
281	0.1382339057
282	0.1382252844
283	0.1382125756
284	0.138204928
285	0.1381956076
286	0.1381892707
287	0.138178566
288	0.1381686664
289	0.1381579048
290	0.1381475417
291	0.1381398035
292	0.1381314063
293	0.1381177354
294	0.1381088198
295	0.1380947395
296	0.1380838248
297	0.1380750061
298	0.1380624082
299	0.1380489069
300	0.1380416594
301	0.1380361715
302	0.1380256131
303	0.1380180874
304	0.1380104978
305	0.1380001832
306	0.1379942132
307	0.1379849974
308	0.1379806867
309	0.1379728045
310	0.1379587551
311	0.1379468643
312	0.1379353949
313	0.137930826
314	0.1379202719
315	0.1379088586
316	0.137900341
317	0.1378922844
318	0.1378825478
319	0.1378699449
320	0.1378644847
321	0.137848561
322	0.1378355285
323	0.1378258243
324	0.1378169243
325	0.1378091079
326	0.1377987854
327	0.1377936922
328	0.1377839119
329	0.1377764731
330	0.1377689139
331	0.1377564792
332	0.1377412678
333	0.1377291409
334	0.1377269913
335	0.1377173914
336	0.137696238
337	0.1376822334
338	0.1376734098
339	0.1376642248
340	0.1376567517
341	0.1376453139
342	0.1376344287
343	0.1376294391
344	0.1376186564
345	0.1376143676
346	0.1376081021
347	0.1375911084
348	0.137581627
349	0.1375744061
350	0.1375650192
351	0.1375561874
352	0.1375433938
353	0.137535736
354	0.1375303531
355	0.1375254148
356	0.1375073283
357	0.1375017271
358	0.1374929937
359	0.1374863138
360	0.1374768673
361	0.1374677942
362	0.1374593613
363	0.1374525024
364	0.1374440415
365	0.1374344406
366	0.1374244067
367	0.1374181459
368	0.1374074416
369	0.1373949225
370	0.137376471
371	0.1373671411
372	0.1373576667
373	0.1373477525
374	0.1373424719
375	0.1373356829
376	0.1373292516
377	0.1373237268
378	0.1373169119
379	0.1373084957
380	0.137300947
381	0.1372965336
382	0.1372878444
383	0.137280753
384	0.1372731667
385	0.1372659243
386	0.1372568426
387	0.1372542371
388	0.1372449499
389	0.1372392318
390	0.1372321266
391	0.1372250706
392	0.1372173499
393	0.1372117691
394	0.1372060062
395	0.1371986343
396	0.1371919022
397	0.1371830409
398	0.1371738178
399	0.1371689465
400	0.1371570144
401	0.1371504053
402	0.1371456408
403	0.1371333362
404	0.1371212176
405	0.1371062542
406	0.1370987077
407	0.1370943199
408	0.1370838501
409	0.1370775628
410	0.137074795
411	0.13706949
412	0.1370647966
413	0.1370608029
414	0.137046697
415	0.1370409266
416	0.1370320064
417	0.1370254097
418	0.1370157916
419	0.1370025773
420	0.1369917304
421	0.1369818425
422	0.1369762449
423	0.1369733164
424	0.1369678539
425	0.1369591576
426	0.136951245
427	0.1369453294
428	0.1369341442
429	0.1369277272
430	0.1369204762
431	0.1369135954
432	0.1369048944
433	0.1369003314
434	0.1368927056
435	0.1368856293
436	0.1368799617
437	0.1368740508
438	0.1368667712
439	0.1368519838
440	0.136850255
441	0.1368429445
442	0.136830297
443	0.1368242467
444	0.1368160955
445	0.1368097171
446	0.1367994019
447	0.1367942142
448	0.1367857597
449	0.1367785951
450	0.1367724621
451	0.1367673019
452	0.1367594747
453	0.1367510096
454	0.1367426862
455	0.1367336595
456	0.1367312733
457	0.1367214302
458	0.1367117955
459	0.1367059534
460	0.1366986307
461	0.1366864731
462	0.1366791422
463	0.1366724388
464	0.136667119
465	0.1366532317
466	0.1366465977
467	0.1366419834
468	0.136635627
469	0.1366312808
470	0.1366259995
471	0.1366207068
472	0.1366133361
473	0.136609049
474	0.1365984157
475	0.1365944136
476	0.1365909661
477	0.1365832233
478	0.136577681
479	0.1365740794
480	0.1365650283
481	0.1365622584
482	0.1365557073
483	0.136546675
484	0.1365383275
485	0.1365287509
486	0.1365199627
487	0.1365107701
488	0.1365023331
489	0.1364978545
490	0.1364928092
491	0.1364817883
492	0.1364693817
493	0.1364627823
494	0.1364494793
495	0.1364446066
496	0.1364406047
497	0.1364333341
498	0.1364298296
499	0.1364232408
500	0.1364184554
501	0.13640893
502	0.1364040512
503	0.1363981533
504	0.1363923496
505	0.136385667
506	0.1363785864
507	0.1363732396
508	0.136363134
509	0.1363576689
510	0.1363504443
511	0.136343952
512	0.1363386631
513	0.1363349189
514	0.13632955
515	0.136319316
516	0.1363126167
517	0.136303289
518	0.1362961703
519	0.1362883723
520	0.136276932
521	0.1362699585
522	0.1362639231
523	0.1362555171
524	0.1362477166
525	0.1362405529
526	0.1362331581
527	0.1362276508
528	0.1362187902
529	0.1362124494
530	0.1362027553
531	0.1361950737
532	0.136190389
533	0.1361860244
534	0.1361826471
535	0.1361727025
536	0.136170617
537	0.1361615174
538	0.1361569085
539	0.1361487648
540	0.1361413513
541	0.136131107
542	0.1361203609
543	0.1361110505
544	0.1361039322
545	0.1360970317
546	0.1360894898
547	0.1360804038
548	0.1360740764
549	0.136062628
550	0.1360570731
551	0.1360500247
552	0.1360451387
553	0.1360390211
554	0.1360277267
